date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:33:49	504/504	---M-Z	200	added ('OK')	text/plain	date:Fri,%2022%20Jul%202022%2007:44:37%20GMT	https://www.beneinst.it/robots.txt		(from )
16:33:52	165416/165416	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Jul%202022%2014:33:51%20GMT	https://www.beneinst.it/	C:/1/Beneinst/www.beneinst.it/index.html	(from )
16:33:52	4286/4286	---M-Z	200	added ('OK')	image/x-icon	date:Fri,%2022%20Jul%202022%2008:42:40%20GMT	https://www.beneinst.it/templates/artis2/favicon.ico	C:/1/Beneinst/www.beneinst.it/templates/artis2/favicon.ico	(from https://www.beneinst.it/)
16:33:52	122521/122521	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Jul%202022%2013:59:00%20GMT	https://www.beneinst.it/media/com_jchoptimize/cache/css/c960300fab81110bfe82f7225a1904b891677a13e6f50cf0aa0159542fb4d5bf.css	C:/1/Beneinst/www.beneinst.it/media/com_jchoptimize/cache/css/c960300fab81110bfe82f7225a1904b891677a13e6f50cf0aa0159542fb4d5bf.css	(from https://www.beneinst.it/)
16:33:52	26755/26755	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Jul%202022%2008:39:13%20GMT	https://www.beneinst.it/modules/mod_favshowcase/theme/css/favshowcase.css	C:/1/Beneinst/www.beneinst.it/modules/mod_favshowcase/theme/css/favshowcase.css	(from https://www.beneinst.it/)
16:33:54	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	http://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/1/Beneinst/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.beneinst.it/)
16:33:54	3160/3160	---MCZ	200	added ('OK')	application/rss+xml	date:Fri,%2022%20Jul%202022%2014:33:52%20GMT	https://www.beneinst.it/?format=feed&type=rss	C:/1/Beneinst/www.beneinst.it/indexc0d0.html	(from https://www.beneinst.it/)
16:33:54	6919/6919	---MCZ	200	added ('OK')	application/atom+xml	date:Fri,%2022%20Jul%202022%2014:33:53%20GMT	https://www.beneinst.it/?format=feed&type=atom	C:/1/Beneinst/www.beneinst.it/index7b17.html	(from https://www.beneinst.it/)
16:33:54	3267/3267	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Jul%202022%2008:39:02%20GMT	https://www.beneinst.it/modules/mod_ebdarkmode/assets/css/darkmood_style.css	C:/1/Beneinst/www.beneinst.it/modules/mod_ebdarkmode/assets/css/darkmood_style.css	(from https://www.beneinst.it/)
16:33:54	13574/13574	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Jul%202022%2008:32:37%20GMT	https://www.beneinst.it/media/mod_rssocial/css/rssocial.css?52fa9e5feb8f76871cc00291f07f34f6	C:/1/Beneinst/www.beneinst.it/media/mod_rssocial/css/rssocial2434.css	(from https://www.beneinst.it/)
16:33:54	36124/36124	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Jul%202022%2008:32:37%20GMT	https://www.beneinst.it/media/mod_rssocial/css/rssocial-anim.css?52fa9e5feb8f76871cc00291f07f34f6	C:/1/Beneinst/www.beneinst.it/media/mod_rssocial/css/rssocial-anim2434.css	(from https://www.beneinst.it/)
16:33:55	9570/9570	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Jul%202022%2008:32:37%20GMT	https://www.beneinst.it/media/mod_rssocial/css/rssocial-font.css?52fa9e5feb8f76871cc00291f07f34f6	C:/1/Beneinst/www.beneinst.it/media/mod_rssocial/css/rssocial-font2434.css	(from https://www.beneinst.it/)
16:33:55	152742/152742	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Jul%202022%2008:39:15%20GMT	https://www.beneinst.it/modules/mod_favsliderpro/theme/bootstrap/favth-bootstrap.css	C:/1/Beneinst/www.beneinst.it/modules/mod_favsliderpro/theme/bootstrap/favth-bootstrap.css	(from https://www.beneinst.it/)
16:33:55	32066/32066	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Jul%202022%2008:39:16%20GMT	https://www.beneinst.it/modules/mod_favsliderpro/theme/css/favsliderpro.css	C:/1/Beneinst/www.beneinst.it/modules/mod_favsliderpro/theme/css/favsliderpro.css	(from https://www.beneinst.it/)
16:33:56	45687/45687	---MCZ	200	added ('OK')	text/css	etag:W/%22826c57385f3d35cfed5478ba7b1f5c03%22	http://use.fontawesome.com/releases/v5.1.0/css/all.css	C:/1/Beneinst/use.fontawesome.com/releases/v5.1.0/css/all.css	(from https://www.beneinst.it/)
